case_id,complexity,mean_actor_f1,mean_branch_f1,mean_end_to_end_success,mean_estimated_cost_usd,mean_hallucination_rate,mean_latency_ms,mean_llm_calls,mean_milestone_f1,mean_repair_attempts,mean_semantic_composite,mean_stability_multi_run,mean_total_tokens,mean_trace_f1,mean_uc_f1,method,repeats,source_results,stddev_actor_f1,stddev_branch_f1,stddev_end_to_end_success,stddev_estimated_cost_usd,stddev_hallucination_rate,stddev_latency_ms,stddev_llm_calls,stddev_milestone_f1,stddev_repair_attempts,stddev_semantic_composite,stddev_total_tokens,stddev_trace_f1,stddev_uc_f1
B1-DEV-002,simple,0.5,0.6666666666666666,1.0,0.15274000000000001,0.5468409586056645,40627.259666666665,1.0,0.1717171717171717,0.0,0.6679292929292929,0.9962121212121213,11232.0,1.0,1.0,B1_ONESHOT,3,artifacts/external_model_runs/external-claude-opus5-oneshot-dev002-r3-2026-09-13/results.json,0.0,0.0,0.0,0.002920402369537458,0.012324301197151164,761.8013699096529,0.0,0.007142492739258062,0.0,0.00178562318481446,116.81609478149832,0.0,0.0
B1-DEV-002,simple,0.5,0.6666666666666666,1.0,0.3021516666666667,0.45955882352941174,71766.32933333333,6.0,0.3757575757575758,0.0,0.7189393939393939,0.9909090909090907,33910.333333333336,1.0,1.0,FULL,3,artifacts/benchmark_runs/full-claude-opus5-dev002-r3-combined-2026-09-13/results.json,0.0,0.0,0.0,0.008075686073365873,0.015597943702644428,2828.2387402109894,0.0,0.01714198257421934,0.0,0.004285495643554914,568.2172902058586,0.0,0.0
B1-DEV-010,medium,0.7555555555555555,0.6666666666666666,0.3333333333333333,0.21619833333333333,0.5114638447971781,60769.575333333334,1.0,0.14814814814814814,0.0,0.7003703703703703,0.8688888888888888,13986.333333333334,1.0,1.0,B1_ONESHOT,3,artifacts/external_model_runs/external-claude-opus5-oneshot-dev010-r3-2026-09-13/results.json,0.06285393610547092,0.0,0.4714045207910317,0.011445838642153844,0.07386381513711437,3372.879363363625,0.0,0.20951312035156963,0.0,0.057673219732805155,457.8335456861539,0.0,0.0
B1-DEV-010,medium,0.8,0.6666666666666666,1.0,0.31698,0.3894736842105263,73853.21333333333,4.666666666666667,0.3162393162393162,0.3333333333333333,0.7490598290598292,0.9935897435897436,34289.333333333336,1.0,1.0,FULL,3,artifacts/benchmark_runs/full-claude-opus5-dev010-r3-combined-2026-09-13/results.json,0.0,0.0,0.0,0.07032772793618933,0.014886458551295757,15940.88628721254,0.9428090415820634,0.012087295404898231,0.4714045207910317,0.0030218238512245512,7736.446743966007,0.0,0.0
