condition,method_ru,projects,repeats_per_project,case_ids,actor_f1,uc_f1,milestone_f1,branch_f1,trace_f1,fr_coverage,activity_element_trace_coverage,activity_structural_validity,schema_validity,end_to_end_success,llm_calls,repair_attempts,total_tokens,estimated_cost_usd,latency_seconds
B1_ONESHOT,Один вызов,3,1,"B1-DEV-002, B1-DEV-010, B1-DEV-020",0.5555555555555556,0.6,0.18518518518518517,0.5555555555555556,0.6190476190476191,0.6666666666666666,0.6151067323481116,0.0,0.6666666666666666,0.0,1.0,0.0,10358.333333333334,0.0046202000000000005,15.710630666666667
FULL_NO_REPAIR,Без исправления,3,1,"B1-DEV-002, B1-DEV-010, B1-DEV-020",0.7666666666666667,1.0,0.22647527910685805,0.7857142857142857,0.9523809523809523,1.0,0.9841269841269841,0.0,1.0,0.0,1.6666666666666667,0.0,9379.666666666666,0.006542300000000001,13.114671666666666
FULL_NO_CRITIC,Без критика,3,1,"B1-DEV-002, B1-DEV-010, B1-DEV-020",0.7666666666666667,1.0,0.272192513368984,0.5,0.9523809523809523,1.0,1.0,1.0,1.0,1.0,6.333333333333333,2.6666666666666665,37011.0,0.023808,41.35347666666667
FULL,Полный граф,3,1,"B1-DEV-002, B1-DEV-010, B1-DEV-020",0.7000000000000001,1.0,0.27563352826510723,0.6904761904761905,0.9333333333333333,1.0,1.0,1.0,1.0,1.0,10.333333333333334,3.0,52947.333333333336,0.029399500000000002,50.00785233333334
