activity_diagram_count,activity_edge_count,activity_element_trace_coverage,activity_node_count,activity_structural_validity,blocking_error_classes,case_id,completion_tokens,condition,cost_usd,duplicate_uc_rate,end_to_end_success,estimated_cost_usd,fr_count,fr_coverage,latency_ms,llm_calls,mermaid_generation_success,nfr_count,orphan_uc_rate,output_bytes,output_sha256,project_name,prompt_tokens,repair_attempts,repeat_id,run_status,schema_validity,size_group,size_label_ru,stability_multi_run,system_story_count,token_usage,total_tokens,trace_completeness,trace_link_count,trace_reference_integrity,uc_element_trace_coverage,unsupported_trace_rate,use_case_count,user_story_count
1,11,1.0,12,1.0,0,SCALE-005,0,B0_RULE,,0.0,1.0,0.0,10,1.0,0.955,0,1.0,14,0.0,59242,f13aac4528ac7fe9418100de735a9a759b3ad6d23a1cb30820aa37064c018f7a,Доска обратной связи от клиентов,0,0,3,success,1.0,G1_SMALL,небольшие,,1,,0,1.0,88,1.0,1.0,0.0,1,1
1,13,1.0,14,1.0,0,SCALE-006,0,B0_RULE,,0.0,1.0,0.0,12,1.0,0.975,0,1.0,14,0.0,69283,51e0d1d3c1e2f805e216b2872f055b48b48341fcf713147ac5aa525bb592614b,Запись в клинику и лист ожидания,0,0,1,success,1.0,G2_GROWING,увеличенные,,1,,0,1.0,102,1.0,1.0,0.0,1,1
1,13,1.0,14,1.0,0,SCALE-006,0,B0_RULE,,0.0,1.0,0.0,12,1.0,1.124,0,1.0,14,0.0,69283,51e0d1d3c1e2f805e216b2872f055b48b48341fcf713147ac5aa525bb592614b,Запись в клинику и лист ожидания,0,0,2,success,1.0,G2_GROWING,увеличенные,,1,,0,1.0,102,1.0,1.0,0.0,1,1
1,13,1.0,14,1.0,0,SCALE-006,0,B0_RULE,,0.0,1.0,0.0,12,1.0,1.024,0,1.0,14,0.0,69283,51e0d1d3c1e2f805e216b2872f055b48b48341fcf713147ac5aa525bb592614b,Запись в клинику и лист ожидания,0,0,3,success,1.0,G2_GROWING,увеличенные,,1,,0,1.0,102,1.0,1.0,0.0,1,1
1,15,1.0,16,1.0,0,SCALE-007,0,B0_RULE,,0.0,1.0,0.0,14,1.0,1.22,0,1.0,14,0.0,78586,b300ac921b17f3037a6dba34556bae4c883bf5ff3d8b2a846f3a153ebc736df7,Воронка B2B-лидов,0,0,1,success,1.0,G2_GROWING,увеличенные,,1,,0,1.0,116,1.0,1.0,0.0,1,1
1,15,1.0,16,1.0,0,SCALE-007,0,B0_RULE,,0.0,1.0,0.0,14,1.0,1.113,0,1.0,14,0.0,78586,b300ac921b17f3037a6dba34556bae4c883bf5ff3d8b2a846f3a153ebc736df7,Воронка B2B-лидов,0,0,2,success,1.0,G2_GROWING,увеличенные,,1,,0,1.0,116,1.0,1.0,0.0,1,1
1,15,1.0,16,1.0,0,SCALE-007,0,B0_RULE,,0.0,1.0,0.0,14,1.0,1.11,0,1.0,14,0.0,78586,b300ac921b17f3037a6dba34556bae4c883bf5ff3d8b2a846f3a153ebc736df7,Воронка B2B-лидов,0,0,3,success,1.0,G2_GROWING,увеличенные,,1,,0,1.0,116,1.0,1.0,0.0,1,1
1,17,1.0,18,1.0,0,SCALE-008,0,B0_RULE,,0.0,1.0,0.0,16,1.0,1.235,0,1.0,14,0.0,88370,70244fe7db93c062a2ad37b3b68ca30798ed5bf3d02841780933304d896462d5,Бронирование столов и рассадка в ресторане,0,0,1,success,1.0,G2_GROWING,увеличенные,,1,,0,1.0,130,1.0,1.0,0.0,1,1
1,17,1.0,18,1.0,0,SCALE-008,0,B0_RULE,,0.0,1.0,0.0,16,1.0,1.183,0,1.0,14,0.0,88370,70244fe7db93c062a2ad37b3b68ca30798ed5bf3d02841780933304d896462d5,Бронирование столов и рассадка в ресторане,0,0,2,success,1.0,G2_GROWING,увеличенные,,1,,0,1.0,130,1.0,1.0,0.0,1,1
1,17,1.0,18,1.0,0,SCALE-008,0,B0_RULE,,0.0,1.0,0.0,16,1.0,1.291,0,1.0,14,0.0,88370,70244fe7db93c062a2ad37b3b68ca30798ed5bf3d02841780933304d896462d5,Бронирование столов и рассадка в ресторане,0,0,3,success,1.0,G2_GROWING,увеличенные,,1,,0,1.0,130,1.0,1.0,0.0,1,1
1,19,1.0,20,1.0,0,SCALE-009,0,B0_RULE,,0.0,1.0,0.0,18,1.0,1.505,0,1.0,14,0.0,93641,0b003fd979e331d83a924c73147d0b7ed29db8ab0604f447917195c91410808c,Заказы на выездное обслуживание,0,0,1,success,1.0,G2_GROWING,увеличенные,,1,,0,1.0,144,1.0,1.0,0.0,1,1
1,19,1.0,20,1.0,0,SCALE-009,0,B0_RULE,,0.0,1.0,0.0,18,1.0,1.426,0,1.0,14,0.0,93641,0b003fd979e331d83a924c73147d0b7ed29db8ab0604f447917195c91410808c,Заказы на выездное обслуживание,0,0,2,success,1.0,G2_GROWING,увеличенные,,1,,0,1.0,144,1.0,1.0,0.0,1,1
1,19,1.0,20,1.0,0,SCALE-009,0,B0_RULE,,0.0,1.0,0.0,18,1.0,1.567,0,1.0,14,0.0,93641,0b003fd979e331d83a924c73147d0b7ed29db8ab0604f447917195c91410808c,Заказы на выездное обслуживание,0,0,3,success,1.0,G2_GROWING,увеличенные,,1,,0,1.0,144,1.0,1.0,0.0,1,1
1,20,1.0,21,1.0,0,SCALE-010,0,B0_RULE,,0.0,1.0,0.0,19,1.0,1.49,0,1.0,14,0.0,97813,62cd62ed337cfe5014ab0cbcc2f57ba188d8922e61d4568335d547c4f5f3886c,Портал записи на корпоративное обучение,0,0,1,success,1.0,G2_GROWING,увеличенные,,1,,0,1.0,151,1.0,1.0,0.0,1,1
1,20,1.0,21,1.0,0,SCALE-010,0,B0_RULE,,0.0,1.0,0.0,19,1.0,1.465,0,1.0,14,0.0,97813,62cd62ed337cfe5014ab0cbcc2f57ba188d8922e61d4568335d547c4f5f3886c,Портал записи на корпоративное обучение,0,0,2,success,1.0,G2_GROWING,увеличенные,,1,,0,1.0,151,1.0,1.0,0.0,1,1
1,20,1.0,21,1.0,0,SCALE-010,0,B0_RULE,,0.0,1.0,0.0,19,1.0,1.314,0,1.0,14,0.0,97813,62cd62ed337cfe5014ab0cbcc2f57ba188d8922e61d4568335d547c4f5f3886c,Портал записи на корпоративное обучение,0,0,3,success,1.0,G2_GROWING,увеличенные,,1,,0,1.0,151,1.0,1.0,0.0,1,1
1,25,1.0,26,1.0,0,SCALE-011,0,B0_RULE,,0.0,1.0,0.0,24,1.0,1.702,0,1.0,15,0.0,122686,d9ca90611ba3400b936406f2ab181d964bea74c3576faca9371cdf1fd4ff39dc,Интернет-магазин специализированных товаров,0,0,1,success,1.0,G3_MEDIUM,средние,,1,,0,1.0,187,1.0,1.0,0.0,1,1
1,25,1.0,26,1.0,0,SCALE-011,0,B0_RULE,,0.0,1.0,0.0,24,1.0,1.83,0,1.0,15,0.0,122686,d9ca90611ba3400b936406f2ab181d964bea74c3576faca9371cdf1fd4ff39dc,Интернет-магазин специализированных товаров,0,0,2,success,1.0,G3_MEDIUM,средние,,1,,0,1.0,187,1.0,1.0,0.0,1,1
1,25,1.0,26,1.0,0,SCALE-011,0,B0_RULE,,0.0,1.0,0.0,24,1.0,1.65,0,1.0,15,0.0,122686,d9ca90611ba3400b936406f2ab181d964bea74c3576faca9371cdf1fd4ff39dc,Интернет-магазин специализированных товаров,0,0,3,success,1.0,G3_MEDIUM,средние,,1,,0,1.0,187,1.0,1.0,0.0,1,1
1,31,1.0,32,1.0,0,SCALE-012,0,B0_RULE,,0.0,1.0,0.0,30,1.0,2.26,0,1.0,15,0.0,144558,33786d389814a181b42cd8c734e16efe7131cb394e2b68aa3a4ee067eac4f670,Подписка на доставку готовых блюд,0,0,1,success,1.0,G3_MEDIUM,средние,,1,,0,1.0,229,1.0,1.0,0.0,1,1
1,31,1.0,32,1.0,0,SCALE-012,0,B0_RULE,,0.0,1.0,0.0,30,1.0,1.865,0,1.0,15,0.0,144558,33786d389814a181b42cd8c734e16efe7131cb394e2b68aa3a4ee067eac4f670,Подписка на доставку готовых блюд,0,0,2,success,1.0,G3_MEDIUM,средние,,1,,0,1.0,229,1.0,1.0,0.0,1,1
1,31,1.0,32,1.0,0,SCALE-012,0,B0_RULE,,0.0,1.0,0.0,30,1.0,2.087,0,1.0,15,0.0,144558,33786d389814a181b42cd8c734e16efe7131cb394e2b68aa3a4ee067eac4f670,Подписка на доставку готовых блюд,0,0,3,success,1.0,G3_MEDIUM,средние,,1,,0,1.0,229,1.0,1.0,0.0,1,1
1,37,1.0,38,1.0,0,SCALE-013,0,B0_RULE,,0.0,1.0,0.0,36,1.0,2.651,0,1.0,15,0.0,177843,0a52f459da301a29b0d513c9e09098f46abc88ccce3ae101ef0f3c1794ee36a4,Управление запасами и закупками,0,0,1,success,1.0,G3_MEDIUM,средние,,1,,0,1.0,271,1.0,1.0,0.0,1,1
1,37,1.0,38,1.0,0,SCALE-013,0,B0_RULE,,0.0,1.0,0.0,36,1.0,2.141,0,1.0,15,0.0,177843,0a52f459da301a29b0d513c9e09098f46abc88ccce3ae101ef0f3c1794ee36a4,Управление запасами и закупками,0,0,2,success,1.0,G3_MEDIUM,средние,,1,,0,1.0,271,1.0,1.0,0.0,1,1
1,37,1.0,38,1.0,0,SCALE-013,0,B0_RULE,,0.0,1.0,0.0,36,1.0,2.121,0,1.0,15,0.0,177843,0a52f459da301a29b0d513c9e09098f46abc88ccce3ae101ef0f3c1794ee36a4,Управление запасами и закупками,0,0,3,success,1.0,G3_MEDIUM,средние,,1,,0,1.0,271,1.0,1.0,0.0,1,1
1,43,1.0,44,1.0,0,SCALE-014,0,B0_RULE,,0.0,1.0,0.0,42,1.0,2.885,0,1.0,16,0.0,201324,c0018ad955fe96a01e3b7d344be983808388c86c3eae592037bd418d89296ed3,Сквозная маркетинговая аналитика,0,0,1,success,1.0,G3_MEDIUM,средние,,1,,0,1.0,314,1.0,1.0,0.0,1,1
1,43,1.0,44,1.0,0,SCALE-014,0,B0_RULE,,0.0,1.0,0.0,42,1.0,4.474,0,1.0,16,0.0,201324,c0018ad955fe96a01e3b7d344be983808388c86c3eae592037bd418d89296ed3,Сквозная маркетинговая аналитика,0,0,2,success,1.0,G3_MEDIUM,средние,,1,,0,1.0,314,1.0,1.0,0.0,1,1
1,43,1.0,44,1.0,0,SCALE-014,0,B0_RULE,,0.0,1.0,0.0,42,1.0,2.602,0,1.0,16,0.0,201324,c0018ad955fe96a01e3b7d344be983808388c86c3eae592037bd418d89296ed3,Сквозная маркетинговая аналитика,0,0,3,success,1.0,G3_MEDIUM,средние,,1,,0,1.0,314,1.0,1.0,0.0,1,1
1,49,1.0,50,1.0,0,SCALE-015,0,B0_RULE,,0.0,1.0,0.0,48,1.0,3.159,0,1.0,16,0.0,226918,5ba3c7dd49b9e7976748498794317649b62d3b2cd60bfe87dd521cc2d23a97e3,Операционный портал коворкинга,0,0,1,success,1.0,G3_MEDIUM,средние,,1,,0,1.0,356,1.0,1.0,0.0,1,1
1,49,1.0,50,1.0,0,SCALE-015,0,B0_RULE,,0.0,1.0,0.0,48,1.0,3.015,0,1.0,16,0.0,226918,5ba3c7dd49b9e7976748498794317649b62d3b2cd60bfe87dd521cc2d23a97e3,Операционный портал коворкинга,0,0,2,success,1.0,G3_MEDIUM,средние,,1,,0,1.0,356,1.0,1.0,0.0,1,1
1,49,1.0,50,1.0,0,SCALE-015,0,B0_RULE,,0.0,1.0,0.0,48,1.0,2.864,0,1.0,16,0.0,226918,5ba3c7dd49b9e7976748498794317649b62d3b2cd60bfe87dd521cc2d23a97e3,Операционный портал коворкинга,0,0,3,success,1.0,G3_MEDIUM,средние,,1,,0,1.0,356,1.0,1.0,0.0,1,1
1,55,1.0,56,1.0,0,SCALE-016,0,B0_RULE,,0.0,1.0,0.0,54,1.0,3.45,0,1.0,18,0.0,259660,85feb19d610e49f6fad90e4e539ecb4d6afefefec10988f58739ae9de7e2e7d0,Омниканальная служба поддержки,0,0,1,success,1.0,G4_LARGE,большие,,1,,0,1.0,400,1.0,1.0,0.0,1,1
1,55,1.0,56,1.0,0,SCALE-016,0,B0_RULE,,0.0,1.0,0.0,54,1.0,3.506,0,1.0,18,0.0,259660,85feb19d610e49f6fad90e4e539ecb4d6afefefec10988f58739ae9de7e2e7d0,Омниканальная служба поддержки,0,0,2,success,1.0,G4_LARGE,большие,,1,,0,1.0,400,1.0,1.0,0.0,1,1
1,55,1.0,56,1.0,0,SCALE-016,0,B0_RULE,,0.0,1.0,0.0,54,1.0,3.572,0,1.0,18,0.0,259660,85feb19d610e49f6fad90e4e539ecb4d6afefefec10988f58739ae9de7e2e7d0,Омниканальная служба поддержки,0,0,3,success,1.0,G4_LARGE,большие,,1,,0,1.0,400,1.0,1.0,0.0,1,1
1,60,1.0,61,1.0,0,SCALE-017,0,B0_RULE,,0.0,1.0,0.0,59,1.0,3.816,0,1.0,17,0.0,285903,7f95b2917b3388fc769ea6100cc424bc6da21c0c0619ab627dc502699bafb856,Портал управления недвижимостью,0,0,1,success,1.0,G4_LARGE,большие,,1,,0,1.0,434,1.0,1.0,0.0,1,1
1,60,1.0,61,1.0,0,SCALE-017,0,B0_RULE,,0.0,1.0,0.0,59,1.0,3.741,0,1.0,17,0.0,285903,7f95b2917b3388fc769ea6100cc424bc6da21c0c0619ab627dc502699bafb856,Портал управления недвижимостью,0,0,2,success,1.0,G4_LARGE,большие,,1,,0,1.0,434,1.0,1.0,0.0,1,1
1,60,1.0,61,1.0,0,SCALE-017,0,B0_RULE,,0.0,1.0,0.0,59,1.0,3.864,0,1.0,17,0.0,285903,7f95b2917b3388fc769ea6100cc424bc6da21c0c0619ab627dc502699bafb856,Портал управления недвижимостью,0,0,3,success,1.0,G4_LARGE,большие,,1,,0,1.0,434,1.0,1.0,0.0,1,1
1,65,1.0,66,1.0,0,SCALE-018,0,B0_RULE,,0.0,1.0,0.0,64,1.0,3.848,0,1.0,18,0.0,309526,36a2093fb0fc904df58545d61308212568e297bcb23ac1bfcb7b8407cc74abec,Управление качеством производства,0,0,1,success,1.0,G4_LARGE,большие,,1,,0,1.0,470,1.0,1.0,0.0,1,1
1,65,1.0,66,1.0,0,SCALE-018,0,B0_RULE,,0.0,1.0,0.0,64,1.0,4.357,0,1.0,18,0.0,309526,36a2093fb0fc904df58545d61308212568e297bcb23ac1bfcb7b8407cc74abec,Управление качеством производства,0,0,2,success,1.0,G4_LARGE,большие,,1,,0,1.0,470,1.0,1.0,0.0,1,1
1,65,1.0,66,1.0,0,SCALE-018,0,B0_RULE,,0.0,1.0,0.0,64,1.0,4.223,0,1.0,18,0.0,309526,36a2093fb0fc904df58545d61308212568e297bcb23ac1bfcb7b8407cc74abec,Управление качеством производства,0,0,3,success,1.0,G4_LARGE,большие,,1,,0,1.0,470,1.0,1.0,0.0,1,1
1,70,1.0,71,1.0,0,SCALE-019,0,B0_RULE,,0.0,1.0,0.0,69,1.0,4.284,0,1.0,19,0.0,334735,cfd6d25707e9509e64cdfda7b7e234b6b1f7817fdfe185f58ac81f1d41b29856,Управление автопарком и доставками,0,0,1,success,1.0,G4_LARGE,большие,,1,,0,1.0,506,1.0,1.0,0.0,1,1
1,70,1.0,71,1.0,0,SCALE-019,0,B0_RULE,,0.0,1.0,0.0,69,1.0,4.594,0,1.0,19,0.0,334735,cfd6d25707e9509e64cdfda7b7e234b6b1f7817fdfe185f58ac81f1d41b29856,Управление автопарком и доставками,0,0,2,success,1.0,G4_LARGE,большие,,1,,0,1.0,506,1.0,1.0,0.0,1,1
1,70,1.0,71,1.0,0,SCALE-019,0,B0_RULE,,0.0,1.0,0.0,69,1.0,4.337,0,1.0,19,0.0,334735,cfd6d25707e9509e64cdfda7b7e234b6b1f7817fdfe185f58ac81f1d41b29856,Управление автопарком и доставками,0,0,3,success,1.0,G4_LARGE,большие,,1,,0,1.0,506,1.0,1.0,0.0,1,1
1,75,1.0,76,1.0,0,SCALE-020,0,B0_RULE,,0.0,1.0,0.0,74,1.0,4.934,0,1.0,19,0.0,351522,c0b305e6dcc2be737b7ea199c3f8d4f957e561435c6a979df55976bc12c0435d,Управление сетью фитнес-клубов,0,0,1,success,1.0,G4_LARGE,большие,,1,,0,1.0,541,1.0,1.0,0.0,1,1
1,75,1.0,76,1.0,0,SCALE-020,0,B0_RULE,,0.0,1.0,0.0,74,1.0,4.546,0,1.0,19,0.0,351522,c0b305e6dcc2be737b7ea199c3f8d4f957e561435c6a979df55976bc12c0435d,Управление сетью фитнес-клубов,0,0,2,success,1.0,G4_LARGE,большие,,1,,0,1.0,541,1.0,1.0,0.0,1,1
1,75,1.0,76,1.0,0,SCALE-020,0,B0_RULE,,0.0,1.0,0.0,74,1.0,4.504,0,1.0,19,0.0,351522,c0b305e6dcc2be737b7ea199c3f8d4f957e561435c6a979df55976bc12c0435d,Управление сетью фитнес-клубов,0,0,3,success,1.0,G4_LARGE,большие,,1,,0,1.0,541,1.0,1.0,0.0,1,1
