size_group,size_label,condition,projects_attempted,semantic_outputs,technical_failures,e2e_passes,e2e_rate,mean_cost_usd,mean_latency_seconds,actor_f1_mean,actor_f1_ci95_low,actor_f1_ci95_high,uc_f1_mean,uc_f1_ci95_low,uc_f1_ci95_high,milestone_f1_mean,milestone_f1_ci95_low,milestone_f1_ci95_high,branch_f1_mean,branch_f1_ci95_low,branch_f1_ci95_high,trace_f1_mean,trace_f1_ci95_low,trace_f1_ci95_high
G1_SMALL,6–10 ФТ,B1_ONESHOT,5,5,0,5,1.0,0.02822076,57.130847800000005,0.8533333333333333,0.7466666666666666,0.96,1.0,1.0,1.0,0.4125117394871439,0.3589039247696272,0.4779699248120301,0.07666666666666666,0.0,0.17666666666666667,0.9714285714285715,0.9142857142857143,1.0
G1_SMALL,6–10 ФТ,FULL,5,5,0,5,1.0,0.08693885999999999,143.8427102,0.8533333333333333,0.7466666666666666,0.96,1.0,1.0,1.0,0.45700478171066405,0.3647681294740118,0.542991822991823,0.09494949494949495,0.02222222222222222,0.1676767676767677,0.9714285714285715,0.9142857142857143,1.0
G2_GROWING,12–19 ФТ,B1_ONESHOT,5,5,0,4,0.8,0.04388964,88.91184659999999,0.8651515151515152,0.7484848484848484,0.9818181818181818,0.9728506787330318,0.9420814479638009,1.0,0.39797921318489615,0.372694885273674,0.4232635410961184,0.16621052631578948,0.132,0.20042105263157897,0.9045957328643496,0.8037302725968438,0.9935483870967742
G2_GROWING,12–19 ФТ,FULL,5,5,0,5,1.0,0.17153970000000007,285.91312819999996,0.8651515151515152,0.7484848484848484,0.9818181818181818,0.9728506787330318,0.9420814479638009,1.0,0.37713603112192756,0.26986343773492366,0.48927513332016587,0.19619607843137254,0.11905882352941174,0.2735294117647059,0.8843133195139004,0.7680103670106911,0.9765704584040747
G3_MEDIUM,24–48 ФТ,B1_ONESHOT,5,2,3,0,0.0,0.07076429999999999,142.067643,0.8012820512820513,0.7692307692307692,0.8333333333333334,1.0,1.0,1.0,0.5411392405063291,0.5,0.5822784810126583,0.3879310344827586,0.27586206896551724,0.5,0.9791666666666667,0.9583333333333334,1.0
G3_MEDIUM,24–48 ФТ,FULL,5,5,0,5,1.0,0.26903778,464.68663080000005,0.836996336996337,0.7380952380952381,0.9358974358974358,1.0,1.0,1.0,0.5118043013092517,0.4114794088104462,0.6539480809046028,0.23633435807348852,0.059259259259259255,0.41340945688771774,0.9869047619047621,0.9702380952380952,1.0
G4_LARGE,54–74 ФТ,B1_ONESHOT,5,0,5,0,0.0,0.08413841999999998,167.859007,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
G4_LARGE,54–74 ФТ,FULL,5,5,0,4,0.8,0.42413609999999996,727.8272616,0.8827225672877846,0.8383333333333333,0.9238095238095237,1.0,1.0,1.0,0.40294406819496026,0.37094230026944275,0.4401181163549707,0.19759087811191006,0.1494812981821643,0.2735632183908046,0.9790307971014492,0.9558423913043479,1.0
