metric,projects,repeats_per_project,mean_full_minus_no_critic,ci95_low,ci95_high
actor_f1,20,3,0.0018253968253968244,-0.007619047619047631,0.0107936507936508
uc_f1,20,3,-0.018095238095238098,-0.06428571428571428,0.009999999999999981
milestone_f1,20,3,0.00010040126585193349,-0.025978772901023843,0.0278146062432129
branch_f1,20,3,0.03396825396825397,-0.015476190476190477,0.08841269841269842
trace_f1,20,3,-0.0026355996944232296,-0.035606219760631545,0.023322510822510828
end_to_end_success,20,3,0.0,0.0,0.0
