condition,case_id,project_name,size_group,size_label_ru,fr_count,nfr_count,repeat_id,run_status,schema_validity,fr_coverage,orphan_uc_rate,duplicate_uc_rate,trace_reference_integrity,trace_completeness,fr_activity_coverage,activity_structural_validity,mermaid_generation_success,end_to_end_success,repair_attempts,trace_manifest_validity,uc_element_trace_coverage,activity_element_trace_coverage,unsupported_trace_rate,blocking_error_classes,stability_multi_run,latency_ms,token_usage,cost_usd,actor_precision,actor_recall,actor_f1,uc_precision,uc_recall,uc_f1,milestone_precision,milestone_recall,milestone_f1,branch_precision,branch_recall,branch_f1,trace_precision,trace_recall,trace_f1,hallucination_rate,semantic_composite,metric_status,semantic_similarity_backend,llm_calls,prompt_tokens,completion_tokens,total_tokens,estimated_cost_usd,use_case_count,user_story_count,system_story_count,activity_diagram_count,activity_node_count,activity_edge_count,trace_link_count,output_bytes,output_sha256,semantic_output_available,technical_failure,source_results,error_type,message
FULL,SCALE-009,Заказы на выездное обслуживание,G2_GROWING,увеличенные,18,14,1,success,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,18,1.0,1.0,1.0,0.007017543859649123,0,,339661.604,,,1.0,0.8333333333333334,0.9090909090909091,1.0,0.8571428571428571,0.923076923076923,0.23214285714285715,0.52,0.32098765432098764,0.1111111111111111,1.0,0.19999999999999998,0.6086956521739131,0.7777777777777778,0.6829268292682927,0.5714285714285714,0.6139651465667726,automatic_slot_match_candidate,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,54,238645,109238,347883,0.2026791000000001,17,17,17,17,149,141,570,407811,153107aa7f7230d1b8852d24f6f3456cc8106b8131d9542195c25bae6f51476b,1,0,artifacts/size_scaling_runs/size-final-g2-b1-full-r1-2026-09-16/results.json,,
FULL,SCALE-010,Портал записи на корпоративное обучение,G2_GROWING,увеличенные,19,14,1,success,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,20,1.0,1.0,1.0,0.0,0,,363583.574,,,1.0,1.0,1.0,1.0,1.0,1.0,0.13636363636363635,0.5294117647058824,0.21686746987951808,0.047619047619047616,0.25,0.08,0.9473684210526315,0.9473684210526315,0.9473684210526315,0.6,0.6556905516804059,automatic_slot_match_candidate,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,60,264789,117410,382199,0.22032870000000015,19,19,19,19,157,140,568,425561,5ad186e3bf4f4df9c4c7cf46cf481b5a42349545a601f8501d6fbd3819259cf3,1,0,artifacts/size_scaling_runs/size-final-g2-b1-full-r1-2026-09-16/results.json,,
B1_ONESHOT,SCALE-011,Интернет-магазин специализированных товаров,G3_MEDIUM,средние,24,15,1,failed,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0.0,1.0,0.9305135951661632,0.0,2,,112628.181,,,0.8333333333333334,0.8333333333333334,0.8333333333333334,1.0,1.0,1.0,0.36231884057971014,0.8064516129032258,0.5,0.17391304347826086,0.6666666666666666,0.27586206896551724,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.4482758620689655,0.7330459770114942,automatic_slot_match_candidate,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,1,9718,44350,54068,0.0561354,23,23,23,23,154,154,567,378757,73555aba4d5e9d33d154f1fdbe2554fc1e0e28d8f48011f65a6ef13053b4f4d0,1,0,artifacts/size_scaling_runs/size-final-g3-b1-full-r1-2026-09-16/results.json,,
B1_ONESHOT,SCALE-012,Подписка на доставку готовых блюд,G3_MEDIUM,средние,30,15,1,failed,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0,0.0,1.0,0.7664233576642335,0.0,3,,96726.61,,,0.7142857142857143,0.8333333333333334,0.7692307692307692,1.0,1.0,1.0,0.5609756097560976,0.6052631578947368,0.5822784810126583,0.6,0.42857142857142855,0.5,1.0,1.0,1.0,0.19469026548672566,0.78595423563778,automatic_slot_match_candidate,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,1,10802,38795,49597,0.049794599999999994,30,27,30,30,135,109,434,324262,b9f4d689779ceef0701317c1b390dc331fe37b078af6b475bda15b1f5d2d845e,1,0,artifacts/size_scaling_runs/size-final-g3-b1-full-r1-2026-09-16/results.json,,
B1_ONESHOT,SCALE-013,Управление запасами и закупками,G3_MEDIUM,средние,36,15,1,failed,,,,,,,,,,0.0,,,,,,,,164820.058,,,,,0.0,,,0.0,,0.0,,,0.0,,,,0.0,1.0,0.0,,,1,12198,65536,77734,0.08230259999999998,,,,,,,,,,0,1,artifacts/size_scaling_runs/size-final-g3-b1-full-r1-2026-09-16/results.json,LLMOutputTruncatedError,LLM output was truncated at max_output_tokens=65536
B1_ONESHOT,SCALE-014,Сквозная маркетинговая аналитика,G3_MEDIUM,средние,42,16,1,failed,,,,,,,,,,0.0,,,,,,,,168120.438,,,,,0.0,,,0.0,,0.0,,,0.0,,,,0.0,1.0,0.0,,,1,13303,65536,78839,0.08263409999999999,,,,,,,,,,0,1,artifacts/size_scaling_runs/size-final-g3-b1-full-r1-2026-09-16/results.json,LLMOutputTruncatedError,LLM output was truncated at max_output_tokens=65536
B1_ONESHOT,SCALE-015,Операционный портал коворкинга,G3_MEDIUM,средние,48,16,1,failed,,,,,,,,,,0.0,,,,,,,,168042.928,,,,,0.0,,,0.0,,0.0,,,0.0,,,,0.0,1.0,0.0,,,1,14372,65536,79908,0.0829548,,,,,,,,,,0,1,artifacts/size_scaling_runs/size-final-g3-b1-full-r1-2026-09-16/results.json,LLMOutputTruncatedError,LLM output was truncated at max_output_tokens=65536
FULL,SCALE-011,Интернет-магазин специализированных товаров,G3_MEDIUM,средние,24,15,1,success,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,24,1.0,1.0,1.0,0.0,0,,384249.299,,,0.8333333333333334,0.8333333333333334,0.8333333333333334,1.0,1.0,1.0,0.2714285714285714,0.6129032258064516,0.3762376237623762,0.19047619047619047,0.6666666666666666,0.2962962962962963,0.9583333333333334,0.9583333333333334,0.9583333333333334,0.4827586206896552,0.7051705170517051,automatic_slot_match_candidate,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,74,285375,117412,402787,0.2265068999999998,24,24,24,24,200,185,712,518629,fe39eaf20cd80bf0a5eb066d20f0e8f9032a50b49603c793711d69999c75c686,1,0,artifacts/size_scaling_runs/size-final-g3-b1-full-r1-2026-09-16/results.json,,
FULL,SCALE-012,Подписка на доставку готовых блюд,G3_MEDIUM,средние,30,15,1,success,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,30,1.0,1.0,1.0,0.0,0,,276634.789,,,0.8571428571428571,1.0,0.923076923076923,1.0,1.0,1.0,0.717391304347826,0.868421052631579,0.7857142857142858,0.5,0.2857142857142857,0.36363636363636365,1.0,1.0,1.0,0.13675213675213677,0.8394355644355644,automatic_slot_match_candidate,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,92,247121,66742,313863,0.15422670000000038,30,0,0,30,123,97,393,366016,55e66f60accec3308cdbddf83bfd801f7a06d8907b86dba4b81be96e28d3f50b,1,0,artifacts/size_scaling_runs/size-final-g3-b1-full-r1-2026-09-16/results.json,,
FULL,SCALE-013,Управление запасами и закупками,G3_MEDIUM,средние,36,15,1,success,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,39,1.0,1.0,1.0,0.005050505050505051,0,,517255.382,,,1.0,1.0,1.0,1.0,1.0,1.0,0.35555555555555557,0.8,0.4923076923076923,0.0,0.0,0.0,1.0,1.0,1.0,0.37988826815642457,0.7230769230769232,automatic_slot_match_candidate,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,115,405836,149382,555218,0.3010092,36,36,36,36,230,207,792,660413,1dba67f5d9b3135343f66155bf92bd68736b6fea8aa454cde7d3aa77d8458049,1,0,artifacts/size_scaling_runs/size-final-g3-b1-full-r1-2026-09-16/results.json,,
