condition,run_count,total_llm_tokens,mean_end_to_end_success,mean_semantic_composite,stddev_semantic_composite,mean_actor_f1,mean_uc_f1,mean_milestone_f1,mean_branch_f1,mean_trace_f1,mean_hallucination_rate,mean_latency_ms,stddev_latency_ms,mean_llm_calls,mean_total_tokens,stddev_total_tokens,mean_estimated_cost_usd,mean_repair_attempts,mean_stability_multi_run
FULL,60,3722783,1.0,0.6927015841241104,0.08428763227703896,0.813968253968254,0.9703896103896104,0.27053399119468446,0.4517857142857143,0.9630379424497072,0.4754238455313491,57124.539450000004,21824.14313300177,11.816666666666666,62046.38333333333,23577.382152599603,0.03460444000000002,3.55,0.9518018387656935
FULL_NO_CRITIC,60,2825900,1.0,0.6923583656512939,0.07093205781243406,0.8121428571428572,0.9884848484848485,0.27043358992883254,0.4178174603174603,0.9656735421441304,0.4743243148206473,53628.32976666667,21599.782726354915,7.816666666666666,47098.333333333336,18022.17847696431,0.02990403999999999,3.65,0.9570686986121568
